Age,Month,Sex,Headlength,Headwidth,Neck,Length,Chest,Weight
8,8,2,10,4.5,10,43.5,24,29
9,9,2,9,4.5,12,36,19,26
11,11,2,9,5,15,46,27,62
17,5,2,11.5,5,15,52.5,28,76
17,5,2,11,4.5,13,46,23,48
20,8,2,11.5,5,17.5,52,29,105
44,8,2,12.5,4.5,10.5,63,32,140
45,9,2,13,6.5,21,60,34.5,182
53,5,2,12.5,6,18,58,31,144
57,9,2,13.5,7,20,64,38,204
57,9,2,12.5,5,19,57.5,32,125
57,9,2,13,5.5,17.5,60.5,31,116
58,10,2,13.5,6.5,21.5,63,40,202
70,10,2,14.5,6.5,26,65,48,316
81,9,2,13,5,20,61,33,132
82,10,2,13.5,6.5,28,64,48,356
83,11,2,14.5,7,23,61.5,44,236
100,4,2,13,7,21,70,41,220
104,8,2,15.5,6.5,22,62,35,166
