Age,Month,Sex,Headlength,Headwidth,Neck,Length,Chest,Weight
8,8,1,9,4.5,13,37,19,34
9,9,1,10,4,13,40,23,40
9,9,1,10,4,13.5,43,23,46
10,10,1,9.5,4.5,16,40,26,65
10,10,1,11,5,17,49,29,94
10,10,1,11.5,5,17,47,29.5,86
11,11,1,11.5,6,16.5,48,31,79
16,4,1,10,4,15.5,48,26,60
16,4,1,10,5,15,41,26,64
17,5,1,11.5,5,17,53,30.5,114
18,6,1,12.5,8.5,18,57.3,32.8,140
19,7,1,11,5.5,16,53,26,80
21,9,1,13,6,19,59,30,120
21,9,1,13,5,17,54,28,90
21,9,1,14.5,5.5,20,61,34,150
23,11,1,12,6.5,19,50,38,148
32,8,1,14,5,21.5,67,37,180
32,8,1,13,8,21.5,59,33,166
33,9,1,13.5,6,22,66.5,34,154
34,10,1,13,7,21,59,35,150
34,10,1,16.5,6.5,27,72,44.5,270
34,10,1,14,5.5,24,65,39,202
35,11,1,13.5,8.5,23,63.5,44,212
45,9,1,13.5,7,24,64,39,204
45,9,1,16,6,24,63,42,220
51,4,1,13.5,8,27,68.5,49,360
55,7,1,16.5,9,28,67.5,45,344
56,7,1,15,7.5,26.5,73.5,41,262
58,10,1,15.5,7,28,70.5,50,365
68,8,1,16,9,29,73,44,332
70,10,1,15.5,7,28,76.5,55,446
81,9,1,15.5,8,31,72,54,416
83,11,1,15.5,8,30.5,75,54,514
115,7,1,17,10,31.5,72,49,348
177,9,1,16,9.5,30,72,48,436
